invoice_id,policy_number,agency_id,invoice_date,premium_billed,due_date,profile,scenario,payment_amount,agency_name,line_of_business,balance,status,days_past_due,aging_bucket
INV-0132,POL-1043,A04,2026-08-01,2214.58,2026-08-31,reliable,on_time,2214.58,Keystone Benefits & Risk,General Liability,0.0,Paid,15,Paid
INV-0133,POL-1044,A01,2026-06-01,1856.83,2026-07-01,reliable,short,1167.07,Summit Insurance Group,Commercial Property,689.76,Past Due,76,60+ Days
INV-0134,POL-1044,A01,2026-07-01,1856.83,2026-07-31,reliable,on_time,1856.83,Summit Insurance Group,Commercial Property,0.0,Paid,46,Paid
INV-0135,POL-1044,A01,2026-08-01,1856.83,2026-08-31,reliable,late,0.0,Summit Insurance Group,Commercial Property,1856.83,Past Due,15,1-30 Days
INV-0136,POL-1045,A10,2026-06-01,3336.25,2026-07-01,problem,short,2086.32,Northgate Underwriters,Commercial Auto,1249.93,Past Due,76,60+ Days
INV-0137,POL-1045,A10,2026-07-01,3336.25,2026-07-31,problem,late,3336.25,Northgate Underwriters,Commercial Auto,0.0,Paid,46,Paid
INV-0138,POL-1045,A10,2026-08-01,3336.25,2026-08-31,problem,short,0.0,Northgate Underwriters,Commercial Auto,3336.25,Past Due,15,1-30 Days
INV-0139,POL-1046,A05,2026-06-01,2128.17,2026-07-01,reliable,on_time,2128.17,Pioneer Underwriters,Commercial Auto,0.0,Paid,76,Paid
INV-0140,POL-1046,A05,2026-07-01,2128.17,2026-07-31,reliable,on_time,2128.17,Pioneer Underwriters,Commercial Auto,0.0,Paid,46,Paid
INV-0141,POL-1046,A05,2026-08-01,2128.17,2026-08-31,reliable,on_time,2128.17,Pioneer Underwriters,Commercial Auto,0.0,Paid,15,Paid
INV-0142,POL-1047,A09,2026-06-01,894.42,2026-07-01,problem,short,695.95,Sterling Benefits & Risk,Commercial Property,198.47,Past Due,76,60+ Days
INV-0143,POL-1047,A09,2026-07-01,894.42,2026-07-31,problem,late,894.42,Sterling Benefits & Risk,Commercial Property,0.0,Paid,46,Paid
INV-0144,POL-1047,A09,2026-08-01,894.42,2026-08-31,problem,late,0.0,Sterling Benefits & Risk,Commercial Property,894.42,Past Due,15,1-30 Days
INV-0145,POL-1048,A07,2026-06-01,1031.0,2026-07-01,slow,late,1031.0,Bayview Risk Advisors,General Liability,0.0,Paid,76,Paid
INV-0146,POL-1048,A07,2026-07-01,1031.0,2026-07-31,slow,late,0.0,Bayview Risk Advisors,General Liability,1031.0,Past Due,46,31-60 Days
INV-0147,POL-1048,A07,2026-08-01,1031.0,2026-08-31,slow,late,0.0,Bayview Risk Advisors,General Liability,1031.0,Past Due,15,1-30 Days
INV-0148,POL-1049,A08,2026-06-01,4828.5,2026-07-01,slow,late,4828.5,Ironwood Insurance Agency,Commercial Auto,0.0,Paid,76,Paid
INV-0149,POL-1049,A08,2026-07-01,4828.5,2026-07-31,slow,on_time,4828.5,Ironwood Insurance Agency,Commercial Auto,0.0,Paid,46,Paid
INV-0150,POL-1049,A08,2026-08-01,4828.5,2026-08-31,slow,late,0.0,Ironwood Insurance Agency,Commercial Auto,4828.5,Past Due,15,1-30 Days
