payment_id,invoice_id,agency_id,payment_date,payment_amount
PAY-0045,INV-0052,A02,2026-07-19,1867.75
PAY-0046,INV-0053,A02,2026-07-30,1867.75
PAY-0047,INV-0054,A02,2026-08-30,1867.75
PAY-0048,INV-0055,A09,2026-06-28,638.67
PAY-0049,INV-0056,A09,2026-08-11,462.96
PAY-0050,INV-0058,A05,2026-07-01,2465.25
PAY-0051,INV-0059,A05,2026-07-31,2465.25
PAY-0052,INV-0060,A05,2026-08-30,2465.25
PAY-0053,INV-0061,A06,2026-06-27,1465.67
PAY-0054,INV-0062,A06,2026-08-10,924.11
PAY-0055,INV-0063,A06,2026-08-31,1465.67
PAY-0056,INV-0064,A04,2026-06-27,2338.42
PAY-0057,INV-0065,A04,2026-07-31,2338.42
PAY-0058,INV-0066,A04,2026-08-31,2338.42
PAY-0059,INV-0067,A02,2026-06-29,4340.33
PAY-0060,INV-0068,A02,2026-07-27,4340.33
PAY-0061,INV-0069,A02,2026-08-28,4340.33
PAY-0062,INV-0070,A10,2026-07-02,1324.61
PAY-0063,INV-0073,A08,2026-06-30,762.33
PAY-0064,INV-0074,A08,2026-08-19,640.82
PAY-0065,INV-0075,A08,2026-08-29,762.33
PAY-0066,INV-0076,A07,2026-06-28,1766.25
PAY-0067,INV-0077,A07,2026-09-08,1766.25
PAY-0068,INV-0078,A07,2026-09-12,1472.52
PAY-0069,INV-0079,A05,2026-08-15,1821.17
PAY-0070,INV-0080,A05,2026-07-31,1821.17
PAY-0071,INV-0082,A09,2026-07-11,2623.78
PAY-0072,INV-0085,A06,2026-08-20,3006.67
PAY-0073,INV-0086,A06,2026-08-30,3006.67
PAY-0074,INV-0087,A06,2026-08-28,3006.67
PAY-0075,INV-0088,A05,2026-06-30,4027.58
PAY-0076,INV-0089,A05,2026-07-28,4027.58
PAY-0077,INV-0090,A05,2026-08-28,4027.58
PAY-0078,INV-0091,A05,2026-07-19,3489.42
PAY-0079,INV-0092,A05,2026-07-30,3489.42
PAY-0080,INV-0093,A05,2026-08-31,3489.42
PAY-0081,INV-0094,A03,2026-07-01,2328.75
PAY-0082,INV-0095,A03,2026-07-29,2328.75
PAY-0083,INV-0096,A03,2026-08-29,2328.75
PAY-0084,INV-0097,A01,2026-07-01,4163.08
PAY-0085,INV-0098,A01,2026-08-27,4163.08
PAY-0086,INV-0099,A01,2026-08-28,4163.08
PAY-0087,INV-0100,A06,2026-06-30,1251.42
PAY-0088,INV-0101,A06,2026-08-23,1251.42
PAY-0089,INV-0102,A06,2026-09-07,888.41
PAY-0090,INV-0103,A09,2026-08-15,602.17
PAY-0091,INV-0104,A09,2026-07-30,602.17
PAY-0092,INV-0105,A09,2026-08-29,602.17
PAY-0093,INV-0106,A01,2026-06-30,905.25
PAY-0094,INV-0107,A01,2026-07-31,905.25
PAY-0095,INV-0108,A01,2026-08-28,905.25
PAY-0096,INV-0109,A09,2026-06-30,3750.58
PAY-0097,INV-0110,A09,2026-08-21,3750.58
PAY-0098,INV-0111,A09,2026-09-15,3281.4
PAY-0099,INV-0112,A09,2026-08-27,2578.42
PAY-0100,INV-0113,A09,2026-07-27,2578.42
PAY-0101,INV-0114,A09,2026-09-09,1801.05
PAY-0102,INV-0115,A03,2026-06-29,1225.75
PAY-0103,INV-0116,A03,2026-07-29,1225.75
PAY-0104,INV-0117,A03,2026-08-27,1225.75
PAY-0105,INV-0118,A07,2026-06-27,2754.67
PAY-0106,INV-0119,A07,2026-08-09,2317.55
PAY-0107,INV-0120,A07,2026-08-28,2754.67
PAY-0108,INV-0121,A02,2026-06-29,1185.42
PAY-0109,INV-0122,A02,2026-07-29,1185.42
PAY-0110,INV-0123,A02,2026-08-28,1185.42
PAY-0111,INV-0124,A08,2026-07-13,2494.15
PAY-0112,INV-0125,A08,2026-07-31,3633.42
PAY-0113,INV-0126,A08,2026-09-14,2400.68
PAY-0114,INV-0127,A08,2026-06-29,2507.67
PAY-0115,INV-0128,A08,2026-09-12,2507.67
PAY-0116,INV-0130,A04,2026-06-27,2214.58
PAY-0117,INV-0131,A04,2026-07-27,2214.58
PAY-0118,INV-0132,A04,2026-08-31,2214.58
PAY-0119,INV-0133,A01,2026-07-20,1167.07
PAY-0120,INV-0134,A01,2026-07-28,1856.83
PAY-0121,INV-0136,A10,2026-07-15,2086.32
PAY-0122,INV-0137,A10,2026-09-02,3336.25
PAY-0123,INV-0139,A05,2026-06-27,2128.17
PAY-0124,INV-0140,A05,2026-07-27,2128.17
PAY-0125,INV-0141,A05,2026-08-31,2128.17
PAY-0126,INV-0142,A09,2026-07-17,695.95
PAY-0127,INV-0143,A09,2026-08-29,894.42
PAY-0128,INV-0145,A07,2026-08-29,1031.0
PAY-0129,INV-0148,A08,2026-08-27,4828.5
PAY-0130,INV-0149,A08,2026-07-31,4828.5
